home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result,home_rolling_points_last5,away_rolling_points_last5,home_rolling_points_last10,away_rolling_points_last10,home_gd_trend_last5,away_gd_trend_last5,travel_distance_km,home_squad_value,away_squad_value,squad_value_ratio
Mamelodi Sundowns,Siwelele,2.0,2.0,FINISHED,2021-11-24,1297677,Matchday 19,2021-2022,1297677,D,13.0,6.0,26.0,17.0,1.8,0.0,428.0130608722853,40400000.0,5250000.0,7.695238095238095
Mamelodi Sundowns,Sekhukhune United,2.0,0.0,FINISHED,2021-11-27,1297483,Matchday 12,2021-2022,1297483,H,11.0,12.0,24.0,20.0,1.2,0.8,239.01816026096265,40400000.0,9700000.0,4.164948453608248
TS Galaxy,Cape Town City,2.0,2.0,FINISHED,2021-11-27,1297440,Matchday 12,2021-2022,1297440,D,6.0,7.0,7.0,13.0,-0.2,-0.2,1528.712355504249,3680000.0,,
Golden Arrows,Baroka FC,3.0,2.0,FINISHED,2021-11-28,1297455,Matchday 12,2021-2022,1297455,H,3.0,2.0,9.0,8.0,-0.4,-0.8,686.9395752773827,6830000.0,,
Royal AM,Stellenbosch,1.0,0.0,FINISHED,2021-11-28,1297494,Matchday 12,2021-2022,1297494,H,6.0,8.0,18.0,17.0,0.0,-0.2,1217.2577336136833,,6080000.0,
Swallows FC,Kaizer Chiefs,1.0,3.0,FINISHED,2021-11-28,1297495,Matchday 12,2021-2022,1297495,A,3.0,10.0,5.0,15.0,-0.4,0.4,11.86480394702673,,16230000.0,
Maritzburg United,AmaZulu,1.0,1.0,FINISHED,2021-11-28,1297493,Matchday 12,2021-2022,1297493,D,5.0,6.0,12.0,15.0,-0.2,0.0,66.67120933275717,,10880000.0,
Marumo Gallants,TS Galaxy,3.0,1.0,FINISHED,2021-12-01,1297489,Matchday 13,2021-2022,1297489,H,5.0,7.0,8.0,8.0,-0.8,0.0,620.8932044419288,2930000.0,3680000.0,0.7961956521739131
Orlando Pirates,Baroka FC,0.0,0.0,FINISHED,2021-12-02,1297492,Matchday 13,2021-2022,1297492,D,8.0,1.0,16.0,5.0,0.6,-1.0,300.02049415232636,22330000.0,,
Swallows FC,Maritzburg United,1.0,1.0,FINISHED,2021-12-04,1297488,Matchday 13,2021-2022,1297488,D,2.0,3.0,4.0,10.0,-0.8,-0.4,451.09958652331454,,,
AmaZulu,Royal AM,0.0,0.0,FINISHED,2021-12-04,1297491,Matchday 13,2021-2022,1297491,D,7.0,8.0,15.0,21.0,0.4,0.2,17.3943183164239,10880000.0,,
Chippa United,Golden Arrows,1.0,2.0,FINISHED,2021-12-04,1297490,Matchday 13,2021-2022,1297490,A,5.0,6.0,7.0,12.0,-0.8,0.0,441.1636950664042,5180000.0,6830000.0,0.7584187408491947
Stellenbosch,Mamelodi Sundowns,1.0,1.0,FINISHED,2021-12-04,1297486,Matchday 13,2021-2022,1297486,D,5.0,11.0,16.0,26.0,-0.6,1.4,1280.0575148753778,6080000.0,40400000.0,0.1504950495049505
Siwelele,Sekhukhune United,0.0,1.0,FINISHED,2021-12-05,1297467,Matchday 13,2021-2022,1297467,A,4.0,9.0,15.0,17.0,-0.4,0.2,666.410273920029,5250000.0,9700000.0,0.5412371134020618
TS Galaxy,Chippa United,3.0,1.0,FINISHED,2021-12-07,1297484,Matchday 14,2021-2022,1297484,H,7.0,5.0,7.0,6.0,-0.2,-0.2,888.662992481296,3680000.0,5180000.0,0.7104247104247104
Cape Town City,Maritzburg United,3.0,2.0,FINISHED,2021-12-07,1297559,Matchday 14,2021-2022,1297559,H,8.0,4.0,13.0,8.0,0.0,-0.2,1227.2827707671945,,,
Mamelodi Sundowns,Royal AM,3.0,2.0,FINISHED,2021-12-08,1297479,Matchday 14,2021-2022,1297479,H,9.0,8.0,24.0,19.0,1.2,0.2,530.8250357544052,40400000.0,,
Sekhukhune United,Marumo Gallants,0.0,1.0,FINISHED,2021-12-08,1297478,Matchday 14,2021-2022,1297478,A,9.0,8.0,19.0,10.0,0.0,-0.2,666.410273920029,9700000.0,2930000.0,3.310580204778157
Baroka FC,Swallows FC,0.0,1.0,FINISHED,2021-12-08,1297481,Matchday 14,2021-2022,1297481,A,2.0,2.0,6.0,5.0,-0.6,-0.8,302.63946401845453,,,
Stellenbosch,Siwelele,0.0,1.0,FINISHED,2021-12-08,1297477,Matchday 14,2021-2022,1297477,A,3.0,4.0,14.0,14.0,-0.8,-0.4,875.4385978904638,6080000.0,5250000.0,1.158095238095238
AmaZulu,Orlando Pirates,1.0,1.0,FINISHED,2021-12-08,1297482,Matchday 14,2021-2022,1297482,D,7.0,8.0,15.0,14.0,0.4,0.6,503.02317226140366,10880000.0,22330000.0,0.4872369010300045
Baroka FC,Cape Town City,0.0,0.0,FINISHED,2021-12-11,1297473,Matchday 15,2021-2022,1297473,D,2.0,8.0,6.0,13.0,-0.6,0.0,1543.6679540867367,,,
Chippa United,AmaZulu,1.0,1.0,FINISHED,2021-12-11,1297474,Matchday 15,2021-2022,1297474,D,4.0,5.0,6.0,13.0,-0.6,0.0,461.27259629164047,5180000.0,10880000.0,0.47610294117647056
Orlando Pirates,TS Galaxy,2.0,0.0,FINISHED,2021-12-11,1297475,Matchday 15,2021-2022,1297475,H,6.0,7.0,12.0,10.0,0.4,0.0,312.8377902530316,22330000.0,3680000.0,6.067934782608695
Siwelele,Mamelodi Sundowns,0.0,1.0,FINISHED,2021-12-11,1297472,Matchday 15,2021-2022,1297472,A,7.0,9.0,14.0,24.0,0.0,0.6,428.0130608722853,5250000.0,40400000.0,0.12995049504950495
Swallows FC,Marumo Gallants,0.0,1.0,FINISHED,2021-12-11,1297476,Matchday 15,2021-2022,1297476,A,4.0,10.0,8.0,13.0,-0.6,0.0,364.9662233067797,,2930000.0,
Kaizer Chiefs,Sekhukhune United,2.0,0.0,FINISHED,2021-12-12,1297470,Matchday 15,2021-2022,1297470,H,10.0,9.0,18.0,19.0,0.6,0.0,297.22531271282986,16230000.0,9700000.0,1.6731958762886598
Maritzburg United,Stellenbosch,0.0,0.0,FINISHED,2021-12-12,1297485,Matchday 15,2021-2022,1297485,D,3.0,2.0,8.0,11.0,-0.4,-1.0,1188.6435264992765,,6080000.0,
Royal AM,Golden Arrows,0.0,0.0,FINISHED,2021-12-12,1297471,Matchday 15,2021-2022,1297471,D,5.0,9.0,16.0,14.0,-0.2,0.4,6.925397570849175,,6830000.0,
Swallows FC,Orlando Pirates,1.0,1.0,FINISHED,2021-12-14,1297654,Matchday 22,2021-2022,1297654,D,4.0,9.0,7.0,15.0,-0.6,1.0,5.889312937022606,,22330000.0,
