home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
TS Galaxy,Marumo Gallants,,,UPCOMING,2027-02-27,21920013,Matchday 20,2026-2027,21920013,
Kaizer Chiefs,Polokwane City,,,UPCOMING,2027-02-27,21920093,Matchday 20,2026-2027,21920093,
Siwelele,Milford FC,,,UPCOMING,2027-02-27,21920023,Matchday 20,2026-2027,21920023,
Sekhukhune United,Chippa United,,,UPCOMING,2027-02-27,21920059,Matchday 20,2026-2027,21920059,
Golden Arrows,AmaZulu,,,UPCOMING,2027-02-28,21920085,Matchday 20,2026-2027,21920085,
Richards Bay,Kruger United,,,UPCOMING,2027-02-28,21920044,Matchday 20,2026-2027,21920044,
Mamelodi Sundowns,Golden Arrows,,,UPCOMING,2027-03-05,21920026,Matchday 21,2026-2027,21920026,
AmaZulu,Durban City,,,UPCOMING,2027-03-06,21920048,Matchday 21,2026-2027,21920048,
Orlando Pirates,Chippa United,,,UPCOMING,2027-03-06,21920160,Matchday 21,2026-2027,21920160,
Richards Bay,Marumo Gallants,,,UPCOMING,2027-03-06,21920082,Matchday 21,2026-2027,21920082,
Kruger United,Milford FC,,,UPCOMING,2027-03-06,21920096,Matchday 21,2026-2027,21920096,
Stellenbosch,Siwelele,,,UPCOMING,2027-03-06,21920107,Matchday 21,2026-2027,21920107,
TS Galaxy,Kaizer Chiefs,,,UPCOMING,2027-03-07,21920028,Matchday 21,2026-2027,21920028,
Polokwane City,Sekhukhune United,,,UPCOMING,2027-03-07,21920029,Matchday 21,2026-2027,21920029,
AmaZulu,Polokwane City,,,UPCOMING,2027-03-12,21920009,Matchday 22,2026-2027,21920009,
Siwelele,Richards Bay,,,UPCOMING,2027-03-13,21920021,Matchday 22,2026-2027,21920021,
Milford FC,TS Galaxy,,,UPCOMING,2027-03-13,21920111,Matchday 22,2026-2027,21920111,
Kruger United,Golden Arrows,,,UPCOMING,2027-03-13,21920094,Matchday 22,2026-2027,21920094,
Sekhukhune United,Stellenbosch,,,UPCOMING,2027-03-13,21920089,Matchday 22,2026-2027,21920089,
Chippa United,Durban City,,,UPCOMING,2027-03-13,21920039,Matchday 22,2026-2027,21920039,
Kaizer Chiefs,Orlando Pirates,,,UPCOMING,2027-03-14,21920027,Matchday 22,2026-2027,21920027,
Marumo Gallants,Mamelodi Sundowns,,,UPCOMING,2027-03-14,21920031,Matchday 22,2026-2027,21920031,
Golden Arrows,TS Galaxy,,,UPCOMING,2027-03-16,21920142,Matchday 23,2026-2027,21920142,
Durban City,Mamelodi Sundowns,,,UPCOMING,2027-03-16,21920087,Matchday 23,2026-2027,21920087,
Chippa United,Marumo Gallants,,,UPCOMING,2027-03-16,21920077,Matchday 23,2026-2027,21920077,
Sekhukhune United,Kruger United,,,UPCOMING,2027-03-17,21920006,Matchday 23,2026-2027,21920006,
Stellenbosch,Kaizer Chiefs,,,UPCOMING,2027-03-17,21920025,Matchday 23,2026-2027,21920025,
Siwelele,AmaZulu,,,UPCOMING,2027-03-17,21920154,Matchday 23,2026-2027,21920154,
Milford FC,Polokwane City,,,UPCOMING,2027-03-17,21920149,Matchday 23,2026-2027,21920149,
Orlando Pirates,Richards Bay,,,UPCOMING,2027-03-17,21920232,Matchday 23,2026-2027,21920232,
Polokwane City,Siwelele,,,UPCOMING,2027-04-09,21920175,Matchday 24,2026-2027,21920175,
Mamelodi Sundowns,Kruger United,,,UPCOMING,2027-04-10,21920209,Matchday 24,2026-2027,21920209,
Kaizer Chiefs,Milford FC,,,UPCOMING,2027-04-10,21920106,Matchday 24,2026-2027,21920106,
Marumo Gallants,Stellenbosch,,,UPCOMING,2027-04-10,21920179,Matchday 24,2026-2027,21920179,
AmaZulu,Chippa United,,,UPCOMING,2027-04-10,21920143,Matchday 24,2026-2027,21920143,
Durban City,Sekhukhune United,,,UPCOMING,2027-04-10,21920133,Matchday 24,2026-2027,21920133,
Richards Bay,Golden Arrows,,,UPCOMING,2027-04-11,21920066,Matchday 24,2026-2027,21920066,
TS Galaxy,Orlando Pirates,,,UPCOMING,2027-04-11,21920242,Matchday 24,2026-2027,21920242,
Polokwane City,Durban City,,,UPCOMING,2027-04-16,21920131,Matchday 25,2026-2027,21920131,
Sekhukhune United,Orlando Pirates,,,UPCOMING,2027-04-17,21920220,Matchday 25,2026-2027,21920220,
Milford FC,Chippa United,,,UPCOMING,2027-04-17,21920132,Matchday 25,2026-2027,21920132,
Kaizer Chiefs,Marumo Gallants,,,UPCOMING,2027-04-17,21920206,Matchday 25,2026-2027,21920206,
Stellenbosch,Golden Arrows,,,UPCOMING,2027-04-17,21920221,Matchday 25,2026-2027,21920221,
Siwelele,Mamelodi Sundowns,,,UPCOMING,2027-04-17,21920081,Matchday 25,2026-2027,21920081,
Kruger United,TS Galaxy,,,UPCOMING,2027-04-18,21920184,Matchday 25,2026-2027,21920184,
AmaZulu,Richards Bay,,,UPCOMING,2027-04-18,21920183,Matchday 25,2026-2027,21920183,
Orlando Pirates,Mamelodi Sundowns,,,UPCOMING,2027-04-23,21920128,Matchday 26,2026-2027,21920128,
Chippa United,Polokwane City,,,UPCOMING,2027-04-24,21920045,Matchday 26,2026-2027,21920045,
Golden Arrows,Sekhukhune United,,,UPCOMING,2027-04-24,21920235,Matchday 26,2026-2027,21920235,
TS Galaxy,Stellenbosch,,,UPCOMING,2027-04-24,21920234,Matchday 26,2026-2027,21920234,
Marumo Gallants,AmaZulu,,,UPCOMING,2027-04-24,21920147,Matchday 26,2026-2027,21920147,
Richards Bay,Milford FC,,,UPCOMING,2027-04-24,21920161,Matchday 26,2026-2027,21920161,
Siwelele,Kruger United,,,UPCOMING,2027-04-24,21920216,Matchday 26,2026-2027,21920216,
Durban City,Kaizer Chiefs,,,UPCOMING,2027-04-25,21920140,Matchday 26,2026-2027,21920140,
Kaizer Chiefs,Golden Arrows,,,UPCOMING,2027-04-27,21920197,Matchday 27,2026-2027,21920197,
Stellenbosch,Orlando Pirates,,,UPCOMING,2027-04-27,21920233,Matchday 27,2026-2027,21920233,
Marumo Gallants,Milford FC,,,UPCOMING,2027-04-27,21920125,Matchday 27,2026-2027,21920125,
