home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Siwelele FC,Kaizer Chiefs,,,UPCOMING,15/05/2027,21920166,Matchday 29,2026-2027
Stellenbosch,Durban City FC,,,UPCOMING,15/05/2027,21920241,Matchday 29,2026-2027
Richards Bay,TS Galaxy,,,UPCOMING,15/05/2027,21920163,Matchday 29,2026-2027
Sekhukhune United,Milford FC,,,UPCOMING,15/05/2027,21920213,Matchday 29,2026-2027
Orlando Pirates,Marumo Gallants,,,UPCOMING,15/05/2027,21920121,Matchday 29,2026-2027
Mamelodi Sundowns,Chippa United FC,,,UPCOMING,15/05/2027,21920172,Matchday 29,2026-2027
Golden Arrows,Polokwane City,,,UPCOMING,15/05/2027,21920222,Matchday 29,2026-2027
AmaZulu FC,Mamelodi Sundowns,,,UPCOMING,22/05/2027,21920187,Matchday 30,2026-2027
Polokwane City,Orlando Pirates,,,UPCOMING,22/05/2027,21920219,Matchday 30,2026-2027
TS Galaxy,Sekhukhune United,,,UPCOMING,22/05/2027,21920102,Matchday 30,2026-2027
Marumo Gallants,Golden Arrows,,,UPCOMING,22/05/2027,21920238,Matchday 30,2026-2027
Milford FC,Stellenbosch,,,UPCOMING,22/05/2027,21920190,Matchday 30,2026-2027
Durban City FC,Kruger United,,,UPCOMING,22/05/2027,21920105,Matchday 30,2026-2027
Kaizer Chiefs,Richards Bay,,,UPCOMING,22/05/2027,21920177,Matchday 30,2026-2027
Chippa United FC,Siwelele FC,,,UPCOMING,22/05/2027,21920231,Matchday 30,2026-2027
AmaZulu FC,Orbit College FC,1,0,FINISHED,09/08/2025,1634268,Matchday 1,2025-2026
Richards Bay,Marumo Gallants,1,2,FINISHED,09/08/2025,1634280,Matchday 1,2025-2026
Polokwane City,Magesi,0,0,FINISHED,09/08/2025,1634281,Matchday 1,2025-2026
Chippa United FC,Mamelodi Sundowns,1,1,FINISHED,09/08/2025,1634254,Matchday 1,2025-2026
Orlando Pirates,Sekhukhune United,0,1,FINISHED,09/08/2025,1634279,Matchday 1,2025-2026
Siwelele FC,Golden Arrows,3,1,FINISHED,09/08/2025,1634278,Matchday 1,2025-2026
TS Galaxy,Durban City FC,0,2,FINISHED,10/08/2025,1634277,Matchday 1,2025-2026
Stellenbosch,Kaizer Chiefs,0,2,FINISHED,10/08/2025,1634276,Matchday 1,2025-2026
Mamelodi Sundowns,AmaZulu FC,2,0,FINISHED,12/08/2025,1634275,Matchday 2,2025-2026
Marumo Gallants,Orlando Pirates,2,1,FINISHED,12/08/2025,1634274,Matchday 2,2025-2026
Orbit College FC,Siwelele FC,1,0,FINISHED,12/08/2025,1634273,Matchday 2,2025-2026
Magesi,Stellenbosch,1,1,FINISHED,13/08/2025,1634269,Matchday 2,2025-2026
Golden Arrows,Richards Bay,1,0,FINISHED,13/08/2025,1634271,Matchday 2,2025-2026
Kaizer Chiefs,Polokwane City,1,0,FINISHED,13/08/2025,1634283,Matchday 2,2025-2026
Durban City FC,Chippa United FC,1,0,FINISHED,13/08/2025,1634272,Matchday 2,2025-2026
Sekhukhune United,TS Galaxy,1,0,FINISHED,13/08/2025,1634284,Matchday 2,2025-2026
Siwelele FC,Polokwane City,0,1,FINISHED,19/08/2025,1634263,Matchday 3,2025-2026
Orbit College FC,Sekhukhune United,0,3,FINISHED,19/08/2025,1634264,Matchday 3,2025-2026
Kaizer Chiefs,Richards Bay,1,0,FINISHED,19/08/2025,1634265,Matchday 3,2025-2026
Chippa United FC,TS Galaxy,1,4,FINISHED,19/08/2025,1634267,Matchday 3,2025-2026
Durban City FC,Golden Arrows,1,1,FINISHED,19/08/2025,1634266,Matchday 3,2025-2026
AmaZulu FC,Marumo Gallants,1,0,FINISHED,20/08/2025,1634262,Matchday 3,2025-2026
Orlando Pirates,Stellenbosch,1,0,FINISHED,20/08/2025,1634260,Matchday 3,2025-2026
Magesi,Mamelodi Sundowns,0,2,FINISHED,20/08/2025,1634261,Matchday 3,2025-2026
TS Galaxy,Siwelele FC,2,0,FINISHED,26/08/2025,1634313,Matchday 4,2025-2026
Stellenbosch,Marumo Gallants,1,0,FINISHED,26/08/2025,1634256,Matchday 4,2025-2026
Orlando Pirates,Orbit College FC,1,0,FINISHED,26/08/2025,1634259,Matchday 4,2025-2026
Polokwane City,Durban City FC,0,0,FINISHED,26/08/2025,1634258,Matchday 4,2025-2026
Richards Bay,Chippa United FC,1,0,FINISHED,26/08/2025,1634257,Matchday 4,2025-2026
Sekhukhune United,AmaZulu FC,1,1,FINISHED,27/08/2025,1634194,Matchday 4,2025-2026
Golden Arrows,Magesi,2,1,FINISHED,27/08/2025,1634270,Matchday 4,2025-2026
Kaizer Chiefs,Mamelodi Sundowns,0,0,FINISHED,27/08/2025,1634298,Matchday 4,2025-2026
Siwelele FC,Richards Bay,0,0,FINISHED,29/08/2025,1634311,Matchday 5,2025-2026
Stellenbosch,Mamelodi Sundowns,0,1,FINISHED,30/08/2025,1634309,Matchday 5,2025-2026
Magesi,AmaZulu FC,1,1,FINISHED,30/08/2025,1634310,Matchday 5,2025-2026
Sekhukhune United,Durban City FC,2,0,FINISHED,30/08/2025,1634307,Matchday 5,2025-2026
Golden Arrows,Kaizer Chiefs,0,1,FINISHED,30/08/2025,1634308,Matchday 5,2025-2026
Orbit College FC,TS Galaxy,1,3,FINISHED,30/08/2025,1634306,Matchday 5,2025-2026
