home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Kaizer Chiefs,Chippa United FC,1,0,FINISHED,29/12/2024,1557140,Matchday 11,2024-2025
Orlando Pirates,Siwelele FC,2,0,FINISHED,22/10/2024,1557139,Matchday 12,2024-2025
Chippa United FC,Stellenbosch,0,2,FINISHED,23/10/2024,1557314,Matchday 12,2024-2025
Mamelodi Sundowns,Royal AM,2,1,FINISHED,23/10/2024,1557195,Matchday 12,2024-2025
AmaZulu FC,Golden Arrows,0,0,FINISHED,04/01/2025,1557196,Matchday 12,2024-2025
TS Galaxy,Magesi,0,0,FINISHED,04/01/2025,1557182,Matchday 12,2024-2025
Marumo Gallants,Richards Bay,0,0,FINISHED,04/01/2025,1557194,Matchday 12,2024-2025
Polokwane City,Sekhukhune United,1,1,FINISHED,05/01/2025,1557193,Matchday 12,2024-2025
Cape Town City,Kaizer Chiefs,1,0,FINISHED,05/01/2025,1557192,Matchday 12,2024-2025
Stellenbosch,TS Galaxy,1,1,FINISHED,06/11/2024,1557186,Matchday 13,2024-2025
Magesi,AmaZulu FC,0,1,FINISHED,11/01/2025,1557190,Matchday 13,2024-2025
Marumo Gallants,Cape Town City,1,0,FINISHED,11/01/2025,1557188,Matchday 13,2024-2025
Chippa United FC,Royal AM,,,UPCOMING,11/01/2025,1557187,Matchday 13,2024-2025
Kaizer Chiefs,Golden Arrows,0,1,FINISHED,12/01/2025,1557185,Matchday 13,2024-2025
Siwelele FC,Sekhukhune United,0,3,FINISHED,12/01/2025,1557166,Matchday 13,2024-2025
Mamelodi Sundowns,Orlando Pirates,4,1,FINISHED,08/02/2025,1557189,Matchday 13,2024-2025
Richards Bay,Polokwane City,2,0,FINISHED,08/02/2025,1557191,Matchday 13,2024-2025
Cape Town City,Richards Bay,2,1,FINISHED,17/01/2025,1557181,Matchday 14,2024-2025
Siwelele FC,Polokwane City,0,1,FINISHED,17/01/2025,1557258,Matchday 14,2024-2025
Golden Arrows,TS Galaxy,1,1,FINISHED,18/01/2025,1557180,Matchday 14,2024-2025
Chippa United FC,Marumo Gallants,2,2,FINISHED,18/01/2025,1557178,Matchday 14,2024-2025
Kaizer Chiefs,Sekhukhune United,1,0,FINISHED,19/01/2025,1557177,Matchday 14,2024-2025
Magesi,Mamelodi Sundowns,1,2,FINISHED,22/01/2025,1557179,Matchday 14,2024-2025
AmaZulu FC,Stellenbosch,0,5,FINISHED,23/01/2025,1557176,Matchday 14,2024-2025
